"wave"	"priority_score"	"subject_bucket"	"course_id"	"course_name"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"current_question_count"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"image_required"	"target_questions_with_images"	"image_root_path"	"chapter_json_output"	"qa_status"	"publish_status"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1051"	"13"	"Chapter 13: ???????????? : ???? ??????? ??? ???????? ???????? (????????? ??????)"	"1"	"13_bhaskaracharya_mahan_ganitagya_vigyanik_prasang.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1051.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1052"	"14"	"Chapter 14: ?????? ??? (??? ???)"	"1"	"14_olympic_khel_khel_jagat.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1052.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1053"	"15"	"Chapter 15: ????? ?? ????? (?????)"	"1"	"15_gopal_ka_bagicha_kahani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1053.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1054"	"16"	"Chapter 16: ???? ???? ??? ?????? (?????)"	"1"	"16_dharti_mata_geet_sunati_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1054.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1055"	"17"	"Chapter 17: ?????? ???? (?????)"	"1"	"17_sunehri_machhli_kahani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1055.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"1056"	"18"	"Chapter 18: ??????? ????? (?????)"	"1"	"18_abraham_lincoln_jeevani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/72/images"	"/opt/robodynamics/session_materials/72/qbank/chapter_1056.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"934"	"1"	"Chapter 1: Rational Numbers"	"1"	"1_rational_numbers.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_934.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"935"	"2"	"Chapter 2: Exponents"	"1"	"2_exponents.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_935.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"936"	"3"	"Chapter 3: Squares and Square Roots"	"1"	"3_squares_and_square_roots.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_936.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"937"	"4"	"Chapter 4: Cubes and Cube Roots"	"1"	"4_cubes_and_cube_roots.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_937.json"	"PENDING"	"PENDING"
