"wave"	"priority_score"	"subject_bucket"	"course_id"	"course_name"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"current_question_count"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"image_required"	"target_questions_with_images"	"image_root_path"	"chapter_json_output"	"qa_status"	"publish_status"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1983"	"9"	"Chapter 9: Unitary Method"	"1"	"09_unitary_method.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1983.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1984"	"10"	"Chapter 10: Percentage"	"1"	"10_percentage.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1984.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1985"	"11"	"Chapter 11: Profit and Loss"	"1"	"11_profit_and_loss.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1985.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1986"	"12"	"Chapter 12: Simple Interest"	"1"	"12_simple_interest.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1986.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1987"	"13"	"Chapter 13: Lines and Angles"	"1"	"13_lines_and_angles.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1987.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1988"	"14"	"Chapter 14: Properties of Parallel Lines"	"1"	"14_properties_of_parallel_lines.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1988.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1989"	"15"	"Chapter 15: Properties of Triangles"	"1"	"15_properties_of_triangles.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1989.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1990"	"16"	"Chapter 16: Congruence"	"1"	"16_congruence.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1990.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1991"	"17"	"Chapter 17: Constructions"	"1"	"17_constructions.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1991.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1992"	"18"	"Chapter 18: Reflection and Rotational Symmetry"	"1"	"18_reflection_and_rotational_symmetry.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1992.json"	"PENDING"	"PENDING"
