"course_id"	"course_name"	"subject_bucket"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"question_count"	"active_question_count"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"487"	"23"	"Session 17: Data Handling"	"1"	"35_session_17_data_handling.pdf"	"0"	"0"
"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"MATH"	"1103"	"24"	"Mid-Term Practice Sheets"	"3"	"mid_term_mock_paper_3.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"563"	"1"	"Chapter 1: Knowing our Numbers"	"13"	"39_1_knowing_our_numbers.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"564"	"2"	"Chapter 2: Whole Numbers"	"15"	"39_2_whole_numbers.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"565"	"3"	"Chapter 3: Playing with Numbers"	"19"	"39_3_playing_with_numbers.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"566"	"4"	"Chapter 4: Basic Geometrical Ideas"	"11"	"39_4_basic_geometrical_ideas.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"567"	"5"	"Chapter 5: Understanding Elementary Shapes"	"17"	"39_5_understanding_elementary_shapes.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"568"	"6"	"Chapter 6: Integers"	"7"	"39_6_integers.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"569"	"7"	"Chapter 7: Fractions"	"13"	"39_7_fractions.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"570"	"8"	"Chapter 8: Decimals"	"1"	"39_8_decimals.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"571"	"9"	"Chapter 9: Data Handling"	"1"	"39_9_data_handling.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"572"	"10"	"Chapter 10: Mensuration"	"1"	"39_10_mensuration.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"573"	"11"	"Chapter 11: Algebra"	"1"	"39_11_algebra.pdf"	"0"	"0"
"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"MATH"	"574"	"12"	"Chapter 12: Ratio and Proportion"	"1"	"39_12_ratio_and_proportion.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"827"	"1"	"Chapter 1: Patterns in Mathematics"	"1"	"1_patterns_in_mathematics.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"828"	"2"	"Chapter 2: Basic Geometrical Tools"	"1"	"2_basic_geometrical_tools.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"829"	"3"	"Chapter 3: Lines and Angles"	"1"	"3_lines_and_angles.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"830"	"4"	"Chapter 4: Number Play"	"1"	"4_number_play.pdf"	"0"	"0"
"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"MATH"	"831"	"5"	"Chapter 5: Data Handling and Presentation"	"1"	"5_data_handling_and_presentation.pdf"	"0"	"0"
